"plainTextVote","trackerNumber"
" Contest:[Private Practice Members Representatives][ Connell Roisin] [ Wardlaw Michael] ",35116186
" Contest:[Private Practice Members Representatives][ Connell Roisin] [ Scott Michelle] ",12148836
" Contest:[Private Practice Members Representatives][ Connell Roisin] [ Scott Michelle] ",96242742
" Contest:[Private Practice Members Representatives][ Canney Ciaran] [ Hargraves Rebecca] ",12428241
" Contest:[Private Practice Members Representatives][ Canney Ciaran] [ Wardlaw Michael] ",75990110
" Contest:[Private Practice Members Representatives][ Canney Ciaran] ",72602670
" Contest:[Private Practice Members Representatives][ Canney Ciaran] ",17889346
" Contest:[Private Practice Members Representatives][ Canney Ciaran] ",60414908
" Contest:[Private Practice Members Representatives][ Connell Roisin] [ Hargraves Rebecca] ",50240843
" Contest:[Private Practice Members Representatives][ Connell Roisin] [ Wardlaw Michael] ",86078445
" Contest:[Private Practice Members Representatives][ Canney Ciaran] [ Hargraves Rebecca] ",43186634
" Contest:[Private Practice Members Representatives][ Hargraves Rebecca] [ Scott Michelle] ",20089454
" Contest:[Private Practice Members Representatives][ Canney Ciaran] [ Hargraves Rebecca] ",80232314
" Contest:[Private Practice Members Representatives][ Canney Ciaran] ",56730396
" Contest:[Private Practice Members Representatives][ Connell Roisin] [ Scott Michelle] ",47724531
" Contest:[Private Practice Members Representatives][ Canney Ciaran] [ Scott Michelle] ",50684821
" Contest:[Private Practice Members Representatives][ Connell Roisin] [ Scott Michelle] ",58789783
" Contest:[Private Practice Members Representatives][ Canney Ciaran] [ Hargraves Rebecca] ",15604606
" Contest:[Private Practice Members Representatives][ Sagar Indie] [ Scott Michelle] ",85303553
" Contest:[Private Practice Members Representatives][ Connell Roisin] [ Hargraves Rebecca] ",28875782
" Contest:[Private Practice Members Representatives][ Hargraves Rebecca] [ Wardlaw Michael] ",74093451
" Contest:[Private Practice Members Representatives][ Scott Michelle] ",79080322
" Contest:[Private Practice Members Representatives][ Canney Ciaran] [ Scott Michelle] ",98513009
" Contest:[Private Practice Members Representatives][ Canney Ciaran] [ Scott Michelle] ",28548167
" Contest:[Private Practice Members Representatives][ Canney Ciaran] [ Connell Roisin] ",29357487
" Contest:[Private Practice Members Representatives][ Connell Roisin] [ Hargraves Rebecca] ",94934665
" Contest:[Private Practice Members Representatives][ Scott Michelle] ",97404634
" Contest:[Private Practice Members Representatives][ Sagar Indie] [ Scott Michelle] ",59921566
" Contest:[Private Practice Members Representatives][ Connell Roisin] [ Scott Michelle] ",11467020
" Contest:[Private Practice Members Representatives][ Connell Roisin] [ Hargraves Rebecca] ",51761957
" Contest:[Private Practice Members Representatives][ Canney Ciaran] ",11935275
" Contest:[Private Practice Members Representatives][ Scott Michelle] [ Wardlaw Michael] ",25983552
" Contest:[Private Practice Members Representatives][ Canney Ciaran] [ Wardlaw Michael] ",27965000
" Contest:[Private Practice Members Representatives][ Scott Michelle] [ Wardlaw Michael] ",42616568
" Contest:[Private Practice Members Representatives][ Hargraves Rebecca] ",48494670
" Contest:[Private Practice Members Representatives][ Scott Michelle] ",48873807
" Contest:[Private Practice Members Representatives][ Hargraves Rebecca] [ Scott Michelle] ",74792622
" Contest:[Private Practice Members Representatives][ Canney Ciaran] [ Connell Roisin] ",65476427
" Contest:[Private Practice Members Representatives][ Canney Ciaran] [ Scott Michelle] ",97691326
" Contest:[Private Practice Members Representatives][ Scott Michelle] ",49847775
" Contest:[Private Practice Members Representatives][ Canney Ciaran] [ Scott Michelle] ",52952995
" Contest:[Private Practice Members Representatives][ Connell Roisin] [ Scott Michelle] ",71310227
" Contest:[Private Practice Members Representatives][ Hargraves Rebecca] [ Wardlaw Michael] ",62344665
" Contest:[Private Practice Members Representatives][ Connell Roisin] ",87868841
" Contest:[Private Practice Members Representatives][ Canney Ciaran] [ Scott Michelle] ",59679192
" Contest:[Private Practice Members Representatives][ Canney Ciaran] [ Hargraves Rebecca] ",71274985
" Contest:[Private Practice Members Representatives][ Canney Ciaran] [ Hargraves Rebecca] ",66569631
" Contest:[Private Practice Members Representatives][ Hargraves Rebecca] [ Wardlaw Michael] ",69352356
" Contest:[Private Practice Members Representatives][ Hargraves Rebecca] [ Scott Michelle] ",67063991
" Contest:[Private Practice Members Representatives][ Connell Roisin] [ Scott Michelle] ",64606462
" Contest:[Private Practice Members Representatives][ Scott Michelle] [ Wardlaw Michael] ",34835203
" Contest:[Private Practice Members Representatives][ Scott Michelle] [ Wardlaw Michael] ",86043626
" Contest:[Private Practice Members Representatives][ Wardlaw Michael] ",41631871
" Contest:[Private Practice Members Representatives][ Scott Michelle] [ Wardlaw Michael] ",62926175
" Contest:[Private Practice Members Representatives][ Hargraves Rebecca] [ Wardlaw Michael] ",87566184
" Contest:[Private Practice Members Representatives][ Canney Ciaran] [ Connell Roisin] ",64541853
" Contest:[Private Practice Members Representatives][ Connell Roisin] ",10789658
" Contest:[Private Practice Members Representatives][ Canney Ciaran] [ Hargraves Rebecca] ",14756041
" Contest:[Private Practice Members Representatives][ Sagar Indie] [ Wardlaw Michael] ",39488894
" Contest:[Private Practice Members Representatives][ Canney Ciaran] [ Hargraves Rebecca] ",70059014
" Contest:[Private Practice Members Representatives][ Canney Ciaran] [ Scott Michelle] ",88625544
" Contest:[Private Practice Members Representatives][ Hargraves Rebecca] [ Scott Michelle] ",37744348
" Contest:[Private Practice Members Representatives][ Connell Roisin] [ Hargraves Rebecca] ",44945525
" Contest:[Private Practice Members Representatives][ Connell Roisin] [ Wardlaw Michael] ",42382448
" Contest:[Private Practice Members Representatives][ Connell Roisin] ",35491800
" Contest:[Private Practice Members Representatives][ Wardlaw Michael] ",75755848
" Contest:[Private Practice Members Representatives][ Scott Michelle] [ Wardlaw Michael] ",81378469
" Contest:[Private Practice Members Representatives][ Connell Roisin] [ Hargraves Rebecca] ",90655535
" Contest:[Private Practice Members Representatives][ Hargraves Rebecca] [ Scott Michelle] ",62214856
" Contest:[Private Practice Members Representatives][ Hargraves Rebecca] [ Scott Michelle] ",26692151
" Contest:[Private Practice Members Representatives][ Canney Ciaran] ",77423995
" Contest:[Private Practice Members Representatives][ Hargraves Rebecca] [ Scott Michelle] ",61270703
" Contest:[Private Practice Members Representatives][ Scott Michelle] [ Wardlaw Michael] ",54803120
" Contest:[Private Practice Members Representatives][ Canney Ciaran] [ Wardlaw Michael] ",11990160
" Contest:[Private Practice Members Representatives][ Scott Michelle] [ Wardlaw Michael] ",26285338
" Contest:[Private Practice Members Representatives][ Hargraves Rebecca] [ Sagar Indie] ",95703460
" Contest:[Private Practice Members Representatives][ Canney Ciaran] [ Scott Michelle] ",57767753
" Contest:[Private Practice Members Representatives][ Hargraves Rebecca] [ Scott Michelle] ",67009043
" Contest:[Private Practice Members Representatives][ Canney Ciaran] [ Connell Roisin] ",82677921
" Contest:[Private Practice Members Representatives][ Hargraves Rebecca] [ Scott Michelle] ",62252957
" Contest:[Private Practice Members Representatives][ Scott Michelle] [ Wardlaw Michael] ",66670989
" Contest:[Private Practice Members Representatives][ Hargraves Rebecca] [ Scott Michelle] ",16179404
" Contest:[Private Practice Members Representatives][ Scott Michelle] ",95080839
" Contest:[Private Practice Members Representatives][ Wardlaw Michael] ",65138535
" Contest:[Private Practice Members Representatives][ Connell Roisin] [ Wardlaw Michael] ",26473485
" Contest:[Private Practice Members Representatives][ Canney Ciaran] [ Connell Roisin] ",15177297
" Contest:[Private Practice Members Representatives][ Wardlaw Michael] ",33365013
" Contest:[Private Practice Members Representatives][ Canney Ciaran] [ Hargraves Rebecca] ",30296125
" Contest:[Private Practice Members Representatives][ Connell Roisin] [ Scott Michelle] ",47295621
" Contest:[Private Practice Members Representatives][ Connell Roisin] [ Hargraves Rebecca] ",26311974
" Contest:[Private Practice Members Representatives][ Canney Ciaran] [ Connell Roisin] ",75217706
" Contest:[Private Practice Members Representatives][ Canney Ciaran] [ Hargraves Rebecca] ",34187602
